Rating,Review
4,"Break fast - you will get at Diguvametta, Hot and freshly prepared. Lunch at Guntur.

Cleanliness - Average"
1,My parents booked the Bangalore Mysore Tippy express today on 12/12/2019..the train came at 5.30 pm to Bangalore wen it was supposed to reach by 3.15pm..so much inconvenience...Indian railways should maintain strict discipline about the timings like Other developed countries not causing inconvenience to it's users..Hope the officials and lawmakers give some more thought about it...
3,"At first I thought I was an Elitist Fool who had lost touch with reality of Train Travel. I would better be 'Grounded' !

I tried looking for Seat Numbers in a Premium Train, every where - Seat Itself, Train Wall (so to say) or any other god fores-aken place where it could be found or read ! Look where ??I finally found it ! And I am 6 feet tall ! Are only small children travelling in trains or helping their parents find seat numbers on a train ?
"
5,"I love them like them they are best in the world , then american railways also.........."
1,"I don't have option to give -10 so I am giving 1 star

Bengaluru Hubli janashatabdi timing is 6.10 but today (26-11-2019) suddenly changed time to 8.30 am, while announcing the even to to told which Jana shathabdi, what is the reason any other option. Then I thought of going in other train (Dadar express) so I went to help desk one more Indian was sitting he nother knew English nor kannada (I don't know how this railway Dept has appointed him) then went to

TT, he told me that I can't travel with Jana Shatabdi ticket. Then I purchased one more ticket for Dadar train.

Compare to Indian government railway our KSRTC (Karnataka state road transport corporation) for better and we have many options."
1,"I just want to say people who think this train tickets are always full and will you be able to travel from coimbatore or go coimbatore..

this train is maximum empty..

Because i had a bad experience with railway.

To loot people our indian railway shows seats full when the train is 30% empty.

shame on indian railway booking system"
1,I am giving one rating as there is no minus rating provided to us worst service trains are always delay. no maintenace no cleanliness of coaches
1,"In my life this is one of the world useless service providers .

Nothing is good ......

So noting to say......"
3,"Today I am travelling from Ahmedabad to Dwaraka in Varanasi train. Train is very ugly with lot of dust every where and saw cockroaches in the train. When railway will improve in rendering services?. Frustrating to travel in railways.
"
1,"Really worst experience , my request pls do improve of our southern railway , train specialty......
"
1,"It is the worst train I have ever travelled. I started from Yeshwanthpur on 21/09/2019. Compartments are not clean. Washrooms are not clean. & There is no water for hand-wash. Some people are slept on the floor , it is very difficult to walk. It is one of the worst ever experience."
1,I travelled on on 6th sep in 12552 train. The train running late by 3hrs.the train running though out andhra is very slow but it is super fast
1,"No proper seating arrangement...Atleast they should see whether there is female or she can seat alone if the Male with her is 4 coach back...this much sense must be there...if train is moving towards Mumbai seats are located towards Madgaon....they must think about this that female and Male together are there so seats must be together.
"
1,"First of all , No appropriate and proper booking system available. Travellers are very much struggling due to the non availability of reserved coaches in all trains.Though you have booked SL and AC that also won't get confirmed when chart preparation. Need more seat availability and more coaches of unreserved compartments."
3,Ruthless and currupt handling of this public service this network never operat any task at time they just check the patience of passengers.
3,"I had been to Yeshwantpur Jn Railway Station yesterday/15.07.2019 morning to drop my mother travelling by Yeshwantpur - Bikaner Express train no 14805.

Although the train starts from Yeshwantpur Jn, Bangalore only there was no announcement or display on TV screen as to on which platform the train will come. On asking at Railway Inquiry at the station was informed either platform 4 or 5. So me with my 74 years aged mother went & were waiting on platform 4. Suddenly there was announcement @ 10.30 am the time of departure that now train will come at platform 3. Everyone started running to platform 3.

Finally train arrived at 10.45am on platform 3 & hurriedly departed at 10.55am. Means railway gave hard paying travellers/ customers just 10 minutes to board the train who were waiting at the station for 60-90 minutes. The most funniest part is train was stationed at Yeshwantpur since 8am. Gross mis management."
2,"The worst thing about this train is it's TIME, never punctual, always 2/5 hours delay, plus toilets and traveling experience is very bad.

I suggest travellers to take another train."
3,"I had train at 10 pm was late by 1 hour 30 minutes, we reached the station accordingly. Then they informed 10 minutes before the expected arrival time that the train is late by 3 hours 30 minutes we still managed to wait. Just 5 minutes before 1:30 am they told that it is late by 4 hours now. I mean what the hell is going on? Do they have any kind of management? They must know the value of time and punctuality. Highly disappointed. Government should work on this first instead of messing into irrelevant issues. Worst thing i have ever experienced in life.
"
1,This is the worst train...in this train we are not travelling we are suffering....This nonsense train stops anywhere without any reason so long......I'm requesting you please don't travel in this nonsense train otherwise you will cry like me !!
1,"Kabad train, 2 rupay ki aukat nhi h iss train ki....always late after Dabra junction giving pass to every other train, even the passenger train from AGC will take you to NZM earlier than this 3rd class train which takes minimum half an hour to reach RKM from AGC(4km apart) ."
1,Must be the next to the worst train......I have ever seen.......If you want to see anyone wasting your plans and ambitions...you can find it in this train.....The train is regularly three to four hours late everyday.......Despite it's importance and passenger crowd it's always denied the opportunity to cross the line first.....it's also halts on no man stations for a long time
1,"02151 pune kazipet special summer train is not on time, its late by 5 hours, i traveled by it on 6th may.it planned to reach at 10:30 morning in badnera but i reached at 4 in afternoon. Horrible experience in such may heat.schedule of such summer special train should be proper.
"
1,"It was worst experience people with waiting ticket make the sleeper as general coach TT s are selling tickets in sleeper coaches even no space for stand up properly

Indian railways should not allow so much people with waiting ticket

It's the commercial side of Indian railway
"
2,"I book general ticket from Lumding to newhaflong on 18 April 2019 for the night arrive train. it cost Rs 250 for four people But the booking counter guy charged me Rs 300. He was so damn rude neither speak English nor Hindi apart from local. the two star rating above is for the train which is much more hygiene then the previous years. those staff were working hard. they love their job appreciate it. now, can somebody tell me, does Indian railway charge commission for the general ticket sir.
"
3,"Since last 6-7 years I have been a regular passenger in 18464 prashanti express but it's never on time ever.

Is there any special order for this train to get late Everytime??

Even if it's late by 10 minutes( initially) it will make it 30 min to 1 hr late while reaching destination."
1,Totally waste train. General ticket people all are in sleeper coach. We cant able to go in and out. Full coach and even there is no single space in the train everywhere all are sitting without reservation.i felt why i booked this train. No ttr is coming for checking. No Clean no hygiene.
1,Rail department need to manage the the proper schedule for all the locals while any mail is coming... because most of the time because of the mails lregular local train get delayed and we are not even allowed to take the mail even though the destination is same and we also have the ticket.....please it become very inconvenient when it’s emergency... Either follow the proper schedule or allow the ppl to travel by mail (fir those who have tickets)..... because nobody can waste their half and hour one hour everyday..... and please hire some decent staff who will have the basic manners..... atleast on emergency time..... and obviously if the person have the ticket means he is not thief of travelling for free..... The rail staff literally treat the traveler as a crime suspect and threatened for jail and chargsheet....It looks like the agenda is only to make money...... Rail staff really need to arrange some lectures on manners and behaviour.....and PLEASE understand WE ARE PAYING FOR THE TRAVEL..... WE ARE NOT TRAVELLING FOR FREE.... SO LEARN TO TREAT WELL....
1,"The only thing that I want to tell here is that Indian Railways have no any punctuality. I was about to get in the Kerala Express train on 25th February Monday morning 11 am but, it reached on my station warangal at only 3:30pm. Why the railway authorities never give any value to the people, their time. Such a horrible experience that I have ever had and this is why most of the people hate travelling by train. Because of the lack of punctuality and time"
1,"The trains in India are never on time. These are the worst railways anyone can ever see. I can bet that no one in the world would ever like Indian trains. These trains are only bringing bad name to our country. The trains are never on time but the fines are as if No trains can be better than these shits. I advise never to trust the Indian Railways. These trains are contributing their best to India being called a poor nation. Shame on Indian Railway Services
"
1,I have a really bad experience with the railways i nd my friend we were really treated bad in the ladies compartment by a female officialwe bymistakely climbed in the 1st class compartment she literally was treating us like wea re taking her money nd running awaythe behaviour was quite rude toward us
1,"What hell is this all about IRCTC the train is scheduled between 6:40pm to 10:40pm to my stop but still not reached my stop and I'm writing it at 00:24am another day still not know where the hell we are at also and don't when we reach to my home also how the do you guys make the timings like this haa you don't know the pain we are going though by waiting for our stop to come shame on you government and shame on you IRCTC
"
1,This train starts from Santragachi (Kolkata) to (Pondicherry) train number 06009. It has a record of getting late atleast by 5 hours. It was delayed from the starting junction by over 3 hours. I strongly recommend people to not travel from this train ever. And Indian railways is always in dump.
1,"I am writing this review resting on the upper birth compartment of the same train. Time is now 11:41 and train has reached itarsi. I am a regular Traveller in Indian railways and this is the first time I am writing a review out of anger. This train has only Ac compartments and has a good interior design.. But this is the worst maintained train I has seen. Its been almost 18 hours of traveling and this train hasn't been cleaned once! no cleaning staffs available.. and the coach attender is a youngster with a rough attitude like he is the owner of the train or something.. and 10 minutes before I went to toilet and I saw potty on the footrest of Indian closet and I was wondering is there anything worst to see before a good night sleep. And train charging ports won't be on throughout the journey. And to top up all the miseries I ordered a non veg thaali from apna foods which is a private catering service and to be frank even a dog would say 'Na' to that roti with 80% aata and 20 % crap ( No wheat I guess). I suggest all those who are reading this review to avoid this train if u want a good journey or if u fantasize to step on potty in a footrest u can go forward ... No offense. This review is 100 percentage true to my knowledge and experience.
"
1,"Sincerely saying we normal people depends on railways and the

railway authority(tt and rpf) is misusing their powers.

I reserved through Irctc online got waiting list within 30 boarded train in the middle of night for a long journey which is actually not a trip but for a urgent purpose( for attending a competitive exam)

Since I am in waiting list I searched for tt in many compartment but couldn't found him .so I waited till he arrives in my place

Later he arrived without giving any chance he said the ticket is cancelled.and asked me to leave in the next station .

But what I found is that if I was supposed to give him some hand money he may allow me to accommodate in any berth.since many others who don't even reserved and with normal tickets is allowed to get berth. By paying him .the rpf too is getting a portion of this corrupt money .And they are using rpf to treat accidentall victims like me in a bad way I don't understand then what is the purpose of booking some 10 days before and paying some bucks earlier. And literally we can't get in general compartments during night time every one knows the situation .and how many general compartments we have in such trains and time .we can't even have a place for our legs .in general compartments .

And at last what happened I was kicked out in an unknown station in the middle of night. We have heard stories like the British iltreating our ancestors but the very same people is doing the same .

First we have to treat our people in better way then only there is requirement to treat foreigners .better .and paying crores to film stars for athithi devo Bhava adds .

I really appreciate indian railways electrification and the bio toilets but the way our uniform forces in railway treating people is like the people are their servants .

Without increasing the general compartments how can we accommodate these many people and how they are supposed to say us to get in general compartments where there is no space for even for a pin ."
3,"Cricket and Indian railway, both are created to halt the advancement of Indians.Indian railway is the worst transportation which never value its customers time.and most of the the staffs at the ticket counter have no clue what customer service is.the hygeine and cleanliness of the train is more because of the attitude of the customers."
1,"Its my first and last time in IndianRailway such a wastage of Time and money

It took 3 hr on distance of 20km

Trains are dirty and unhygienic

Not for the people who are suffering with asthama or other respiratory diseases will never use railway again
"
1,"From my childhood i am suffering with the delay of train timing and dirtyest railway coaches as this government has no sence of what is going with there management our ministers

makes air travel so they don't have any idea how much people suffer in there day to day life

Please have some attention about the same

Shame on you Indian Railways

This is not my first review i can write full day about this non-sence .
"
1,"Very very poor service provided by railway staff, Each and every person in railways is very rude they think they are the only boss in the world, The people who even don’t know how to talk they teach passengers railway Administration need to lookout for issues like this.
"
1,As of my train timings. I came 20 mints back and I was satanted in queue.. in front of me 9 members are there. For that 9 people's general ticket giving purpose that ticket counter employee taken 18 mints. After that I got ticket and I was huray barryly catch the train. Then train actual Star time 5:10 am . They announce train going to start. But train started at 5: 25 am. No one maintaining time. Indian Railway 's. I people's have ticket or not we are checking. First u guys are properly working or not check it.
3,"F* railway system. Y idiot officers can't listen on passanger trains. Y passenger train peoples not giving money . maintain passenger trains at correct time. Waiting 3 hours in train till not started from starting

all system. Officers all go and die in front of train
"
1,"Rajdhani express from Nizt to Bangalore on September 4. Food was extremely bad, Western toilet didn't have flush out. No coffee served at Bangalore. No soup served. We were in births 1 and 4. It was flooded with flies and mosquitoes as the catering arrangements are done at outside toilet. Sai catering is the contractor who makes a lot of money. Someone in railways is receiving bribe. They didn't care passengers. Very poor quality of food. We both are sick. Please avoid Rajdhani express. Food is not at all good. Very disappointing experience. They charge RS.1000 more for food. Food is not worth even 200. Coffee is not served in flask.
"
1,"Worst train I travelled ever, No hygiene, No Punctuality( 6 hours journey took 12 hours), the worst facility, No water in washrooms and dirty wash basin and washrooms

Late late and late .

I wish not to travel by this train in future .

My exam got missed due to this train .

Thanks to IR

Bullshit ."
1,I am travelling from mumbai to mughalsarai. its very worst experience in my life train is 5 hour late. indian government really dont care and dont value of his people. In future I ll not prefer in Indian railways again. its totally waste of time and bulshitt. shame please provide us some good quality of journey and care about the people time.
1,"Please never book these 2 trains it never run on time and run late mostly by 10 hrs. Unfortunatel I booked my round trip in same train but deceived twice by more 26 hrs just of running late in 2 days journey.

It gives crossing to other train just like a sawari gaadi.
"
1,Very very bad facilities in seat cleaning. Train no. 12456 BIKANER TO DELHI SARAI ROHILLA TRAIN. I HAVE BOOKING 8 SEATS FROM SANGRUR TO DELHI BUT. EVERY SEATS IS VERY BAD CONDITIONS. DUE TO DUST. I CLEANED EVERY SEAT WITH MY HAND. VERY SHAMEFUL TO INDIAN RAILWAY.
1,The trains are always late. Sometimes even 24-26 hours. The management always fails to give the right and deserving service. The substitution of delayed trains are also poor. Waiting rooms are not big enough to give the passengers adequate amount to even sit. In one word. Indian Railways SUCKS!
1,"Bad service provided, They were coakroaches inside a two tier ac compartment in sbc kacheguda express.Compartment was damn stincky.The train was late for 2 hours.I would like to request the authority to ensure that Cleaniness should be maintained.It was a big problem for senior citizens."
1,"This so called special train, MAS-SRC AC Special Express(02842) did not even have average facilities like pantry car, clean toilets.

Apart from that, the wires were coming out from the wire cabinets of AC coaches. Also, the train was delayed by 2.5 hours with no specific stoppage time in a station. Sometimes it gave a 10min stop in Vizag and 2 min stop in Vijayawada. Also, as it was special train se couldn't order from outside as the outside vendors wouldn't take our order.

Very pathetic journey experience with IRCTC, which is not my usual experience with it.
"
1,"22203 & 22204 SC-VSKP DURANTO

cheating no.1 - it does not have LHB coaches.

cheating no.2 - Average speed is 63kmph. wastes your time.

It is completely showing the cheating nature of our greatest indian railways & South central railway.

They are simply running a normal superfast train with dynamic pricing and charging more fares from the people.

if private organisations cheat the poeple, they go to government, but what they do if government itself is cheating?

it is completely ridiculous.

Please dont board this train.
"
1,"Train no. 04205

Why is it so necessary to even run these so called puja special trains?

This is giving me the worst experience ever.

First it's late like hell

Secondly it's waiting time is even worser than that of local ones

No pantry

No service

Nothing

Making promises are easy but the way current government is executing their promises and making us suffer will take its toll in the elections for sure.

This train and its services don't even deserve any star"
3,Currently railway condition is so worst. I was traveling in rajdhani with my baby.attend Shutdown AC in mid night .there was so saffocation my baby crying n irritating .i search attendent in here n there in whole coach but he was there.this type of codition repeated with me so many time.service is so poor.
3,"The level of frustration become worse when it comes to the pass system.if a person is sitting on the seat and then the pass holders comes and say ""get off from my seat"" we are reserved for this seat, go get another seat.and when things like demonitization happens to india, these jerks will always oppose that.they says that goverment is bothering the general public.then what are u guys doing?"
1,"I m writing this with the sense of frustration that m facing with indian railway

Never will you ever get ticket in any long distance train even if you booked it for months

India has this huge population and over half of population depends on railways but our government do not pay any attention to passengers condition of traveling.

Regret / NA/ WL always.

I m personally very frustrated with this situation of indian railway.

And trains never reach on time not even a single train in long distance traveling.

I think our government should take this seriously.

Hopefully it will change.

Thankyou.
"
1,"Especially the NE railway always runs late. If you are in any emergency or any serious urge to go to your destination, NEVER RELY ON INDIAN RAILWAY. No matter in which class you travel, thay will make your condition pathetic by halting at unusual places where the passengers will die in hunger.

I frequently travel every part in UP and also to Delhi.I don't know why it's too hard for IR to maintain the punctuality. And the funny part is Indian govt. Is talking about the introduction of bullet trains in India .

Seriously .Mera desh mahaan!
"
1,"Never ever a train reaches on time. they are just looting the poor and middle class person.no cleaning in train compartment or in toilet. 90% train have very old coaches suitable for transferring only luggages. only providing wifi and other name sake facilities and keeping eye off from the real issues is not going to help common people in any way.Mr.prabhu should first ensure clean food, compartments, toilets, hassle free reservations and on time running of trains so that people get beniffted in reality. indian railway sucks!"
1,"This train is delayed by 12-15 hours daily and no one even cares. The train is not even cleaned before boarding for the next journey. The coach c-16 is in a extremely bad shape. Why this injustice with only a few passengers. The seats are greased, the walls are dirty and there are rats roaming. Please don't travel by this train."
1,"It is with a sense of frustration that I write this:

Even after nearly 70 years after independence, it is a shame that the demand for seats for travel by trains outstrips what the railways offers. Even though we resort to advance reservations, many times, the seats just do not get confirmed.

And, not all can plan their trips months in advance in order to adjust to the inability of railways to meet the needs of passengers. I dream of the day when I can take a long distance train journey without reserving a seat for any class of seat. Hopefully, something will change. Thank you.

Rajeev Rajan
"
2,"Disgusting.need lost more to do.like cleaning. Crew.pollution.

Am waiting list. Allocation seat allocation. Washroom.am need more water. Travel one tym in a lf by Indian rail an see your self.x"
1,"This is the first time I have travelled and absolutely the last time I have travelled in IRCTC to Kolkata.This train starts from Chennai Central to Howrah, Kolkata.

This is the worst train I have ever come across based on cleanliness, behaviour of TTR and other stuff. I travelled with my mom and kids. Had really worst experience from this train. People. Please stay safe and don't ever choose this train."
1,"Dear readers,

On 3rd May 2015 I started my journey from BAM to SALEM. This was a horrorful story. I had the reservation in sleeper class but I got my seat in 2 hours. There were as many as 30 people in 8 seats. People were everywhere even in the bathroom. I didn't drink water fearing having to go to bathroom. The people who were having General tickets slept in the floor and nobody reacted anything even TTE and RPF didn't gave any notice.

Don't go on this train ever."
5,"I have 2 tickets(and 1 child ticket) for travel to Mumbai(1 male, 1 female and 1 child(less than 5 years) for 25th May from Delhi.

These tickets are of second AC bogey The train depart from New Delhi Railway Station @ 2:45 pm on 25th May.

I had booked it for me and my family's travel but due to unavoidable circumstances, I am unable to go.

If you or your friend/s are interested then please let me know. Thanks in advance

Regards,
"
2,"Every year two to three times I use to travel through Rajdhani Express from Bangalore to Delhi  and with each passing year I am experiencing a decrease in the quality and taste of food offered .

This year when we were of going to Delhi by Raajdhani Express in after noon they served mazza but when on 27th of April we were returning to Bangalore they have not served any thing between breakfast and lunch. At Tea time they have given a stinking sandwich.

There is no pre set slandered for food and it all depends on your luck that whether you are going to get edible food or not. We have paid huge amount as a freight and we got this.Not at all satisfied with services offered during travel."
